"","country","countryLabel","capital","capitalLabel","coordinate_location"
"149","http://www.wikidata.org/entity/Q757","Saint Vincent and the Grenadines","http://www.wikidata.org/entity/Q41474","Kingstown","Point(-61.233333333 13.166666666)"
"150","http://www.wikidata.org/entity/Q683","Samoa","http://www.wikidata.org/entity/Q36260","Apia","Point(-171.833333333 -13.833333333)"
"151","http://www.wikidata.org/entity/Q238","San Marino","http://www.wikidata.org/entity/Q1848","San Marino","Point(12.44845 43.932011111)"
"152","http://www.wikidata.org/entity/Q851","Saudi Arabia","http://www.wikidata.org/entity/Q3692","Riyadh","Point(46.71 24.65)"
"153","http://www.wikidata.org/entity/Q1041","Senegal","http://www.wikidata.org/entity/Q3718","Dakar","Point(-17.457222222 14.731944444)"
"154","http://www.wikidata.org/entity/Q403","Serbia","http://www.wikidata.org/entity/Q3711","Belgrade","Point(20.466666666 44.816666666)"
"155","http://www.wikidata.org/entity/Q1042","Seychelles","http://www.wikidata.org/entity/Q3940","Victoria","Point(55.454444444 -4.623611111)"
"156","http://www.wikidata.org/entity/Q1044","Sierra Leone","http://www.wikidata.org/entity/Q3780","Freetown","Point(-13.233055555 8.483333333)"
"157","http://www.wikidata.org/entity/Q334","Singapore","http://www.wikidata.org/entity/Q334","Singapore","Point(103.8 1.3)"
"158","http://www.wikidata.org/entity/Q214","Slovakia","http://www.wikidata.org/entity/Q1780","Bratislava","Point(17.112777777 48.144722222)"
"159","http://www.wikidata.org/entity/Q215","Slovenia","http://www.wikidata.org/entity/Q437","Ljubljana","Point(14.516666666 46.05)"
"160","http://www.wikidata.org/entity/Q685","Solomon Islands","http://www.wikidata.org/entity/Q40921","Honiara","Point(159.95 -9.433333)"
"161","http://www.wikidata.org/entity/Q1045","Somalia","http://www.wikidata.org/entity/Q2449","Mogadishu","Point(45.3425 2.040833333)"
"162","http://www.wikidata.org/entity/Q258","South Africa","http://www.wikidata.org/entity/Q3926","Pretoria","Point(28.188055555 -25.746388888)"
"163","http://www.wikidata.org/entity/Q258","South Africa","http://www.wikidata.org/entity/Q5465","Cape Town","Point(18.425 -33.925)"
"164","http://www.wikidata.org/entity/Q258","South Africa","http://www.wikidata.org/entity/Q37701","Bloemfontein","Point(26.216666666 -29.1)"
"165","http://www.wikidata.org/entity/Q884","South Korea","http://www.wikidata.org/entity/Q8684","Seoul","Point(126.99 37.56)"
"166","http://www.wikidata.org/entity/Q958","South Sudan","http://www.wikidata.org/entity/Q1947","Juba","Point(31.6 4.85)"
"167","http://www.wikidata.org/entity/Q29","Spain","http://www.wikidata.org/entity/Q2807","Madrid","Point(-3.691944444 40.418888888)"
"168","http://www.wikidata.org/entity/Q854","Sri Lanka","http://www.wikidata.org/entity/Q35381","Colombo","Point(79.833333333 6.916666666)"
"169","http://www.wikidata.org/entity/Q854","Sri Lanka","http://www.wikidata.org/entity/Q41963","Sri Jayawardenepura Kotte","Point(79.916388888 6.9)"
"170","http://www.wikidata.org/entity/Q1049","Sudan","http://www.wikidata.org/entity/Q1963","Khartoum","Point(32.52654 15.60308)"
"171","http://www.wikidata.org/entity/Q730","Suriname","http://www.wikidata.org/entity/Q3001","Paramaribo","Point(-55.166666666 5.866666666)"
"172","http://www.wikidata.org/entity/Q34","Sweden","http://www.wikidata.org/entity/Q1754","Stockholm","Point(18.068611111 59.329444444)"
"173","http://www.wikidata.org/entity/Q39","Switzerland","http://www.wikidata.org/entity/Q70","Bern","Point(7.44743 46.94798)"
"174","http://www.wikidata.org/entity/Q858","Syria","http://www.wikidata.org/entity/Q3766","Damascus","Point(36.291944444 33.513055555)"
"175","http://www.wikidata.org/entity/Q1039","São Tomé and Príncipe","http://www.wikidata.org/entity/Q3932","São Tomé","Point(6.733333333 0.333333333)"
"176","http://www.wikidata.org/entity/Q865","Taiwan","http://www.wikidata.org/entity/Q1867","Taipei","Point(121.531944444 25.047777777)"
"177","http://www.wikidata.org/entity/Q863","Tajikistan","http://www.wikidata.org/entity/Q9365","Dushanbe","Point(68.786388888 38.573055555)"
"178","http://www.wikidata.org/entity/Q924","Tanzania","http://www.wikidata.org/entity/Q3866","Dodoma","Point(35.746 -6.1835)"
"179","http://www.wikidata.org/entity/Q869","Thailand","http://www.wikidata.org/entity/Q1861","Bangkok","Point(100.516666666 13.75)"
"180","http://www.wikidata.org/entity/Q778","The Bahamas","http://www.wikidata.org/entity/Q2467","Nassau","Point(-77.333333333 25.066666666)"
"181","http://www.wikidata.org/entity/Q1005","The Gambia","http://www.wikidata.org/entity/Q3726","Banjul","Point(-16.5775 13.453055555)"
"182","http://www.wikidata.org/entity/Q945","Togo","http://www.wikidata.org/entity/Q3792","Lomé","Point(1.222777777 6.131944444)"
"183","http://www.wikidata.org/entity/Q678","Tonga","http://www.wikidata.org/entity/Q38834","Nuku'alofa","Point(-175.208333333 -21.134722222)"
"184","http://www.wikidata.org/entity/Q754","Trinidad and Tobago","http://www.wikidata.org/entity/Q39178","Port of Spain","Point(-61.516666666 10.666666666)"
"185","http://www.wikidata.org/entity/Q948","Tunisia","http://www.wikidata.org/entity/Q3572","Tunis","Point(10.18 36.800833333)"
"186","http://www.wikidata.org/entity/Q43","Turkey","http://www.wikidata.org/entity/Q3640","Ankara","Point(32.85 39.93)"
"187","http://www.wikidata.org/entity/Q874","Turkmenistan","http://www.wikidata.org/entity/Q23438","Ashgabat","Point(58.383333333 37.95)"
"188","http://www.wikidata.org/entity/Q672","Tuvalu","http://www.wikidata.org/entity/Q34126","Funafuti","Point(179.19417 -8.52425)"
"189","http://www.wikidata.org/entity/Q1036","Uganda","http://www.wikidata.org/entity/Q3894","Kampala","Point(32.581111111 0.313611111)"
"190","http://www.wikidata.org/entity/Q212","Ukraine","http://www.wikidata.org/entity/Q1899","Kyiv","Point(30.523611111 50.45)"
"191","http://www.wikidata.org/entity/Q878","United Arab Emirates","http://www.wikidata.org/entity/Q1519","Abu Dhabi","Point(54.368611111 24.478055555)"
"192","http://www.wikidata.org/entity/Q145","United Kingdom","http://www.wikidata.org/entity/Q84","London","Point(-0.1275 51.507222222)"
"193","http://www.wikidata.org/entity/Q30","United States of America","http://www.wikidata.org/entity/Q61","Washington, D.C.","Point(-77.036666666 38.895)"
"194","http://www.wikidata.org/entity/Q77","Uruguay","http://www.wikidata.org/entity/Q1335","Montevideo","Point(-56.166666666 -34.866666666)"
"195","http://www.wikidata.org/entity/Q265","Uzbekistan","http://www.wikidata.org/entity/Q269","Tashkent","Point(69.266666666 41.3)"
"196","http://www.wikidata.org/entity/Q686","Vanuatu","http://www.wikidata.org/entity/Q37806","Port Vila","Point(168.3 -17.75)"
"197","http://www.wikidata.org/entity/Q237","Vatican City",NA,NA,NA
"198","http://www.wikidata.org/entity/Q717","Venezuela","http://www.wikidata.org/entity/Q1533","Caracas","Point(-66.933333333 10.5)"
"199","http://www.wikidata.org/entity/Q881","Vietnam","http://www.wikidata.org/entity/Q1858","Hanoi","Point(105.84117 21.0245)"
"200","http://www.wikidata.org/entity/Q805","Yemen","http://www.wikidata.org/entity/Q2471","Sanaa","Point(44.2 15.35)"
"201","http://www.wikidata.org/entity/Q805","Yemen","http://www.wikidata.org/entity/Q131694","Aden","Point(45.033333333 12.8)"
"202","http://www.wikidata.org/entity/Q953","Zambia","http://www.wikidata.org/entity/Q3881","Lusaka","Point(28.283333333 -15.416666666)"
"203","http://www.wikidata.org/entity/Q954","Zimbabwe","http://www.wikidata.org/entity/Q3921","Harare","Point(31.052222222 -17.829166666)"
