"","capital","capitalLabel","coordinate_location","capital_of","capital_ofLabel","country","countryLabel"
"139","http://www.wikidata.org/entity/Q38834","Nuku'alofa","Point(-175.208333333 -21.134722222)","http://www.wikidata.org/entity/Q678","Tonga","http://www.wikidata.org/entity/Q678","Tonga"
"140","http://www.wikidata.org/entity/Q38834","Nuku'alofa","Point(-175.208333333 -21.134722222)","http://www.wikidata.org/entity/Q17197946","British Tonga","http://www.wikidata.org/entity/Q678","Tonga"
"141","http://www.wikidata.org/entity/Q39178","Port of Spain","Point(-61.516666666 10.666666666)","http://www.wikidata.org/entity/Q754","Trinidad and Tobago","http://www.wikidata.org/entity/Q754","Trinidad and Tobago"
"142","http://www.wikidata.org/entity/Q39178","Port of Spain","Point(-61.516666666 10.666666666)","http://www.wikidata.org/entity/Q652560","West Indies Federation","http://www.wikidata.org/entity/Q754","Trinidad and Tobago"
"143","http://www.wikidata.org/entity/Q40236","Manaus","Point(-60.016666666 -3.1)","http://www.wikidata.org/entity/Q40040","Amazonas","http://www.wikidata.org/entity/Q155","Brazil"
"144","http://www.wikidata.org/entity/Q40269","Porto Alegre","Point(-51.23 -30.032777777)","http://www.wikidata.org/entity/Q40030","Rio Grande do Sul","http://www.wikidata.org/entity/Q155","Brazil"
"145","http://www.wikidata.org/entity/Q40921","Honiara","Point(159.95 -9.433333)","http://www.wikidata.org/entity/Q685","Solomon Islands","http://www.wikidata.org/entity/Q685","Solomon Islands"
"146","http://www.wikidata.org/entity/Q40921","Honiara","Point(159.95 -9.433333)","http://www.wikidata.org/entity/Q760888","Guadalcanal Province","http://www.wikidata.org/entity/Q685","Solomon Islands"
"147","http://www.wikidata.org/entity/Q41128","Itanagar","Point(93.62 27.1)","http://www.wikidata.org/entity/Q1162","Arunachal Pradesh","http://www.wikidata.org/entity/Q668","India"
"148","http://www.wikidata.org/entity/Q41295","Basseterre","Point(-62.734166666 17.298333333)","http://www.wikidata.org/entity/Q763","Saint Kitts and Nevis","http://www.wikidata.org/entity/Q763","Saint Kitts and Nevis"
"149","http://www.wikidata.org/entity/Q41295","Basseterre","Point(-62.734166666 17.298333333)","http://www.wikidata.org/entity/Q1637975","Saint Christopher-Nevis-Anguilla","http://www.wikidata.org/entity/Q763","Saint Kitts and Nevis"
